                SO2           NO2           P10          P2.5            O3  \
count  17532.000000  17532.000000  17532.000000  17532.000000  17532.000000   
mean       0.013576      0.052628      0.078074      0.050388      0.055230   
std        0.008126      0.028060      0.055437      0.037639      0.043887   
min        0.002000      0.002000      0.001000      0.001000      0.002000   
25%        0.009000      0.031000      0.041000      0.024000      0.020000   
50%        0.012000      0.047000      0.063000      0.040000      0.047000   
75%        0.016000      0.069000      0.099000      0.065000      0.077000   
max        0.126000      0.222000      0.446000      0.345000      0.404000   

                 CO        Humi-R       W-Direc       W-Speed        A-Pres  \
count  17532.000000  17532.000000  17532.000000  17532.000000  17532.000000   
mean       0.980290     76.438091    140.079489      1.189426   1014.490933   
std        1.096641     16.533434     66.340883      0.627523      8.632660   
min        0.073000     16.479000      0.000000      0.000000    984.706000   
25%        0.437000     65.831500     84.113250      0.726000   1006.925000   
50%        0.658000     79.725000    124.433000      1.143000   1014.241000   
75%        1.090000     89.958000    190.723000      1.560000   1021.571000   
max       25.283000     99.785000    282.543000      4.826000   1036.285000   

             A-Temp  
count  17532.000000  
mean      18.398849  
std        9.011471  
min       -7.175000  
25%       10.897500  
50%       19.368000  
75%       25.194000  
max       40.799000  
